lbias,lbp,lbn,lin1,lin2,ltn,ltp,vcmo,mamp,fbias,fbp,fbn,fin1,fin2,ftn1,ftn2,ftp1,ftp2,cload,cin,cout,gain,gm,pole1,pole2,rout,cmo,pwr,swing14,swing7,swingn,swingn1,swingn4,swingp,irn
0.00000032,0.00000012,0.00000038,0.00000025,0.00000026,0.00000008,0.00000057,0.48,7,8,2,7,8,9,10,3,4,9,1.00E-012,2.13E-013,3.29E-014,37.8056,0.000278916,552883,104993000,278487,0.476442,-0.000141052,0.905348,0.419651,0.426832,-0.0484497,0.00367605,-0.0708384,0.000000185
0.00000035,0.00000005,0.00000035,0.00000017,0.00000018,0.0000005,0.00000051,0.56,13,6,4,9,7,5,7,10,3,2,1.00E-012,1.89E-013,3.88E-014,52.1483,0.000536647,204848,353204000,754614,0.556559,-0.000139065,0.672381,0.27965,0.300073,0.150973,0.0168703,0.0021302,1.37E-008
0.00000028,0.00000011,0.00000023,0.00000006,0.00000026,0.0000005,0.0000004,0.5,30,10,7,6,7,4,8,9,4,8,1.00E-012,4.95E-013,8E-014,-44.5586,5.95E-008,1501600,903120000,99447.6,0.496454,-0.000482409,0.675377,0.856483,0.284642,0.0949516,-0.0490363,-0.488434,0.0000656
0.00000054,0.00000045,0.00000033,0.00000011,0.00000021,0.00000048,0.00000041,0.5,97,7,4,5,9,3,7,6,10,2,1.00E-012,1.39E-012,2.29E-013,50.5624,0.00252509,982117,623182000,133611,0.495761,-0.00118484,0.429402,-0.0485829,0.00460569,0.356793,-0.018842,0.369684,6.51E-010
0.00000041,0.00000054,0.00000028,0.00000016,0.00000024,0.00000035,0.00000056,0.5,44,8,7,4,9,2,10,10,8,3,1.00E-012,8.48E-013,1.14E-013,57.8149,0.00161355,300124,520046000,481905,0.496137,-0.000646532,0.494817,-0.0237646,0.0424992,0.324047,-0.0359532,0.334394,0.000000001
0.00000058,0.00000028,0.00000047,0.00000049,0.00000056,0.0000006,0.00000057,0.48,16,7,3,8,10,4,2,4,7,5,1.00E-012,7.55E-013,5.72E-014,50.8205,0.00037349,164433,216633000,930560,0.476257,-0.00011684,0.456473,0.0231625,-0.0158189,0.361469,-0.0472969,0.367436,2.22E-009
0.00000014,0.0000005,0.00000021,0.00000052,0.00000016,0.00000018,0.00000023,0.46,29,9,4,5,10,8,7,8,3,10,1.00E-012,3.15E-012,1.11E-013,44.6134,0.00126474,1071050,555073000,134482,0.456699,-0.000592843,0.496989,-0.0576217,-0.027442,0.369391,0.0230192,0.391116,5.77E-010
0.00000047,0.00000008,0.00000032,0.00000046,0.00000017,0.00000034,0.00000059,0.6,94,9,5,2,5,6,2,4,4,4,1.00E-012,3.59E-012,4.02E-013,47.354,0.00310659,1519360,510733000,75061.2,0.59583,-0.000659447,0.756047,0.293776,0.390824,0.0909415,0.0249657,-0.0412359,2.56E-009
0.00000031,0.00000045,0.00000031,0.00000054,0.00000022,0.00000017,0.00000048,0.42,8,10,7,2,4,7,3,6,9,3,1.00E-012,2.03E-013,2.09E-014,52.7542,0.000469696,172080,385353000,924471,0.416299,-0.00018007,0.653655,0.0887964,0.0716924,0.199828,-0.011413,0.308937,1.25E-009
0.0000003,0.00000056,0.00000038,0.00000058,0.00000013,0.00000032,0.00000053,0.48,91,9,7,9,3,3,9,5,10,5,1.00E-012,1.74E-012,3.79E-013,46.6405,0.0016281,884647,455230000,131931,0.47601,-0.00118894,0.504097,-0.057609,-0.00674221,0.356088,0.0193465,0.37785,5.8E-010
