fbias,lbias,fin,fp,lin,lp,vcmo,mamp,cload,cin,cout,gain,gm,pole1,rout,zero,cmo,pwr,swingn,swingp
72,0.00000026,140,185,0.00000018,0.00000046,0.58,19,1.00E-012,5.74E-013,1.2E-013,46.6677,0.00695005,38909600,31002.4,31318100000,0.573738,-0.00181455,0.488239,0.275171
42,0.0000008,120,195,0.0000004,0.00000017,0.56,27,1.00E-012,4.41E-013,1.08E-013,45.7255,0.00250275,18708100,77243,4964150000,0.551588,-0.000617237,0.465916,0.378194
62,0.00000072,30,70,0.00000025,0.00000012,0.42,32,1.00E-012,7.5E-014,5.46E-014,40.8596,0.00104545,27017100,105602,12001000000,0.410009,-0.000295749,0.324476,0.524126
5,0.0000001,150,80,0.0000006,0.00000038,0.48,39,1.00E-012,8.86E-013,5.51E-014,45.9574,0.00204127,27557300,97267.9,2041430000,0.476868,-0.000517335,0.391126,0.404983
52,0.00000036,80,115,0.00000036,0.00000012,0.58,9,1.00E-012,2.65E-013,7.71E-014,41.1947,0.00185965,32235100,61702.7,5201570000,0.573967,-0.000520931,0.488316,0.359114
34,0.00000056,60,135,0.0000003,0.00000007,0.6,96,1.00E-012,1.66E-013,7.27E-014,32.3001,0.00168145,83412700,24508.9,8475830000,0.593836,-0.000437438,0.508222,0.351197
26,0.00000054,10,20,0.0000002,0.00000033,0.5,52,1.00E-012,1.93E-014,2.33E-014,44.0331,0.000442171,18381800,359803,23304200000,0.494793,-0.000134828,0.409309,0.398828
35,0.00000066,50,195,0.00000032,0.00000018,0.5,99,1.00E-012,1.49E-013,9.28E-014,45.0166,0.00132803,12499500,134159,9394620000,0.493584,-0.000343638,0.407965,0.445102
34,0.00000016,180,110,0.00000056,0.00000025,0.54,16,1.00E-012,9.08E-013,8.18E-014,44.2401,0.00263327,29930600,61874.5,2012140000,0.536081,-0.000751846,0.45035,0.366414
74,0.00000076,110,75,0.00000019,0.00000059,0.6,95,1.00E-012,6.27E-013,7.58E-014,47.5715,0.00509081,40059900,46966.5,28805700000,0.585628,-0.00126621,0.500112,0.1942
98,0.00000056,145,45,0.00000056,0.00000034,0.46,66,1.00E-012,8.12E-013,7.58E-014,47.8628,0.00211556,17329000,116873,1700060000,0.448534,-0.000590435,0.362802,0.407664
76,0.00000082,140,25,0.00000056,0.00000017,0.6,80,1.00E-012,6.91E-013,5.95E-014,46.169,0.00203499,26029500,99973.8,1900180000,0.58655,-0.00052806,0.500818,0.282764
100,0.00000066,180,115,0.00000052,0.00000017,0.6,21,1.00E-012,8.12E-013,1.08E-013,45.4902,0.00283975,21447500,66256.6,2177310000,0.586302,-0.000747435,0.500581,0.32872
