vcdl_n_width,vcdl_p_width,tc_n_width,tc_p_width,vdd,fmin,fmax,pmin,pmax
4.5e-07,8.4e-07,1.235e-06,2.09e-06,1.0,3957961626.7342,8567940258.4256,0.003474,0.0058826
4.5e-07,8.4e-07,1.3e-06,1.71e-06,0.8,4368441086.6846,7384859890.2007,0.0018202,0.0028049
4.5e-07,8.4e-07,1.3e-06,1.71e-06,0.9,3995109857.7908,8537014136.6149,0.0024352,0.0040187
4.5e-07,8.4e-07,1.3e-06,1.805e-06,0.8,4645675342.653,7414597932.6011,0.0018323,0.0028409
4.5e-07,8.4e-07,1.3e-06,1.805e-06,0.9,4228568814.8284,8322790574.5251,0.0024586,0.0041123
4.5e-07,8.4e-07,1.3e-06,1.805e-06,1.0,3986564002.7864,9699462097.704,0.0034926,0.0053229
4.5e-07,8.4e-07,1.3e-06,1.9e-06,0.8,4666986998.5239,7212968341.8769,0.001849,0.0028717
4.5e-07,8.4e-07,1.3e-06,1.9e-06,0.9,4248600787.2909,8136106728.5778,0.0024985,0.0041636
4.5e-07,8.4e-07,1.3e-06,1.9e-06,1.0,4006822456.7093,9812290110.8722,0.0034967,0.0055092
4.5e-07,8.4e-07,1.3e-06,1.995e-06,0.8,4571088986.5997,7016613215.7781,0.0018748,0.0029084
4.5e-07,8.4e-07,1.3e-06,1.995e-06,0.9,4170758704.571,8082027457.9241,0.0025572,0.0042042
4.5e-07,8.4e-07,1.3e-06,1.995e-06,1.0,3939458230.1486,9255922528.9758,0.0034971,0.0057182
4.5e-07,8.4e-07,1.3e-06,2.09e-06,0.8,4548798108.6966,7024193346.868,0.0019136,0.002942
4.5e-07,8.4e-07,1.3e-06,2.09e-06,0.9,4153502761.7122,8041243184.5332,0.0026341,0.0042469
4.5e-07,8.4e-07,1.3e-06,2.09e-06,1.0,3926524136.9245,8865267678.9545,0.0035077,0.0058427
4.5e-07,8.4e-07,1.365e-06,1.71e-06,0.8,4394499719.5821,7848226577.7317,0.0018633,0.002757
4.5e-07,8.4e-07,1.365e-06,1.71e-06,0.9,4023177277.184,8912561551.9848,0.0024698,0.0038856
4.5e-07,8.4e-07,1.365e-06,1.805e-06,0.8,4666303295.13,7665996061.0877,0.0018833,0.0028061
4.5e-07,8.4e-07,1.365e-06,1.805e-06,0.9,4252351137.3389,8693891122.9457,0.0024764,0.0040088
4.5e-07,8.4e-07,1.365e-06,1.9e-06,0.8,4641880904.6556,7491814494.1301,0.0018955,0.0028482
4.5e-07,8.4e-07,1.365e-06,1.9e-06,0.9,4233502480.6501,8498138596.3154,0.0024936,0.0041104
4.5e-07,8.4e-07,1.365e-06,1.995e-06,0.8,4620587922.1976,7318486122.8719,0.0019026,0.0028766
4.5e-07,8.4e-07,1.365e-06,1.995e-06,0.9,4217743851.4604,8304561518.9568,0.0025256,0.0041805
4.5e-07,8.4e-07,1.365e-06,1.995e-06,1.0,3993237123.7298,9752681338.8806,0.0035264,0.0054968
4.5e-07,8.4e-07,1.365e-06,2.09e-06,0.8,4582235460.6628,7139355612.0728,0.0019183,0.0029056
4.5e-07,8.4e-07,1.365e-06,2.09e-06,0.9,4187485775.5424,8153036220.5341,0.0025788,0.00422
4.5e-07,8.4e-07,1.365e-06,2.09e-06,1.0,3969341668.4799,9573993384.1916,0.0035528,0.0057003
4.5e-07,8.4e-07,1.43e-06,1.71e-06,0.8,4416539815.3629,8644271678.2224,0.0018555,0.0027151
4.5e-07,8.4e-07,1.43e-06,1.805e-06,0.8,4706099717.2838,8424443653.4522,0.0018933,0.0027605
4.5e-07,8.4e-07,1.43e-06,1.995e-06,0.8,4650627361.9699,7589529101.2543,0.0019474,0.0028485
4.5e-07,8.4e-07,1.43e-06,1.995e-06,0.9,4251057177.5429,8685722177.0641,0.0025327,0.0041015
4.5e-07,8.4e-07,1.43e-06,2.09e-06,0.8,4623483590.7174,7644187566.1411,0.0019676,0.0028812
4.5e-07,8.4e-07,1.43e-06,2.09e-06,0.9,4230516763.0529,8469149005.9525,0.0025629,0.0041894
4.5e-07,8.8e-07,1.17e-06,1.71e-06,0.8,5077731455.963,6949985506.3715,0.0018104,0.0028772
4.5e-07,8.8e-07,1.17e-06,1.71e-06,0.9,4543350592.247,7985508897.7947,0.0024642,0.0041446
4.5e-07,8.8e-07,1.17e-06,1.71e-06,1.0,4246951366.1187,8977668406.3697,0.0034553,0.005585
4.5e-07,8.8e-07,1.17e-06,1.805e-06,0.8,4777350317.1793,6853589620.4336,0.0018599,0.0029095
4.5e-07,8.8e-07,1.17e-06,1.805e-06,0.9,4315704452.6828,7920015813.3687,0.0024981,0.0041899
4.5e-07,8.8e-07,1.17e-06,1.805e-06,1.0,4049774650.1912,8783065350.7899,0.0034673,0.0057217
4.5e-07,8.8e-07,1.17e-06,1.9e-06,0.8,4741286054.0247,6783600554.3284,0.0019173,0.002922
4.5e-07,8.8e-07,1.17e-06,1.9e-06,0.9,4296914136.5264,7868410290.1106,0.0025356,0.0042332
4.5e-07,8.8e-07,1.17e-06,1.9e-06,1.0,4035056135.4791,8766143248.2189,0.0034835,0.0058097
4.5e-07,8.8e-07,1.17e-06,1.995e-06,0.8,4718708851.6716,6717261514.1396,0.0019301,0.0029333
