nf_cap,nf_load,res,nf_dif,delay,delay0
12.0,13.0,3700.0,18.0,1.77086e-10,1.01096e-10
15.0,20.0,3000.0,18.0,2.5373e-10,1.34416e-10
14.0,21.0,2200.0,18.0,2.26664e-10,1.23085e-10
17.0,15.0,3000.0,21.0,3.16188e-10,1.62489e-10
13.0,12.0,2500.0,12.0,1.92357e-10,1.02132e-10
16.0,18.0,4000.0,11.0,2.75592e-10,1.37389e-10
12.0,15.0,2400.0,15.0,1.73497e-10,9.74078e-11
11.0,13.0,2300.0,13.0,1.48813e-10,8.48442e-11
20.0,14.0,2600.0,20.0,4.16862e-10,2.02504e-10
13.0,21.0,2300.0,13.0,1.96106e-10,1.06348e-10
11.0,20.0,2300.0,14.0,1.51438e-10,8.77303e-11
12.0,20.0,3900.0,21.0,1.82734e-10,1.07129e-10
14.0,14.0,2700.0,12.0,2.18356e-10,1.13406e-10
19.0,18.0,3000.0,17.0,3.78745e-10,1.84968e-10
12.0,21.0,2600.0,12.0,1.71365e-10,9.4988e-11
20.0,11.0,3800.0,20.0,4.17155e-10,2.02666e-10
15.0,12.0,2800.0,11.0,2.44554e-10,1.23277e-10
20.0,21.0,3600.0,11.0,4.11725e-10,1.93656e-10
14.0,12.0,3600.0,18.0,2.25407e-10,1.21432e-10
18.0,11.0,3900.0,20.0,3.46892e-10,1.73802e-10
17.0,21.0,4000.0,15.0,3.10946e-10,1.56102e-10
20.0,20.0,2700.0,18.0,4.15809e-10,2.01021e-10
13.0,14.0,3900.0,18.0,2.00619e-10,1.11267e-10
20.0,21.0,2600.0,15.0,4.13727e-10,1.97824e-10
21.0,15.0,3400.0,14.0,4.4987e-10,2.10676e-10
21.0,15.0,2200.0,13.0,4.49012e-10,2.09262e-10
18.0,17.0,3500.0,16.0,3.43141e-10,1.69284e-10
21.0,17.0,3400.0,13.0,4.49959e-10,2.1028e-10
19.0,18.0,3000.0,17.0,3.78745e-10,1.84968e-10
18.0,19.0,2800.0,20.0,3.47594e-10,1.74866e-10
11.0,11.0,3200.0,17.0,1.53965e-10,9.01333e-11
15.0,16.0,2300.0,11.0,2.45293e-10,1.2416e-10
13.0,21.0,2500.0,17.0,2.0085e-10,1.11671e-10
15.0,19.0,3900.0,19.0,2.55438e-10,1.36217e-10
20.0,21.0,3300.0,11.0,4.11617e-10,1.93559e-10
14.0,14.0,3100.0,20.0,2.2814e-10,1.24495e-10
15.0,12.0,2700.0,19.0,2.53682e-10,1.34217e-10
17.0,18.0,3400.0,12.0,3.06873e-10,1.50851e-10
19.0,18.0,2300.0,21.0,3.8262e-10,1.89966e-10
17.0,16.0,3300.0,19.0,3.13942e-10,1.59926e-10
19.0,18.0,2900.0,17.0,3.7872e-10,1.84924e-10
20.0,21.0,2900.0,16.0,4.14377e-10,1.98897e-10
