fin_main_sw,cap_load,frf,fin_battery_cap,Rout_LNA,Current Consumption,Output PP Amplitude,Tracking Bandwidth (GHz),ENOB,SNR,SFDR
4,4E-15,3.64E+10,80,58,1.10E-04,8.83E-01,18.93,7.537,47.14,47.26
4,4E-15,3.64E+10,80,58,1.10E-04,8.83E-01,18.93,7.537,47.14,47.26
4,4E-15,3.64E+10,80,58,1.10E-04,8.83E-01,18.93,7.537,47.14,47.26
4,4E-15,3.64E+10,80,58,1.10E-04,8.83E-01,18.93,7.537,47.14,47.26
2,4E-15,3.24E+10,70,58,1.08E-04,8.84E-01,13.2,7.757,48.46,48.58
2,6E-15,2.56E+10,70,58,1.08E-04,8.84E-01,9.623,7.69,48.06,48.19
2,6E-15,2.56E+10,70,58,1.08E-04,8.84E-01,9.623,7.69,48.06,48.19
6,6E-15,3.24E+10,90,58,1.11E-04,8.85E-01,17.76,7.533,47.12,47.23
6,6E-15,3.24E+10,90,58,1.11E-04,8.85E-01,17.76,7.533,47.12,47.23
2,4E-15,3.64E+10,80,45,1.08E-04,8.85E-01,13.51,8.27,51.55,51.68
2,4E-15,3.64E+10,80,45,1.08E-04,8.85E-01,13.51,8.27,51.55,51.68
6,4E-15,3.64E+10,90,58,1.11E-04,8.86E-01,21.89,6.951,43.61,43.72
4,6E-15,3.64E+10,90,45,1.10E-04,8.87E-01,15.4,8.014,50.01,50.14
4,6E-15,3.64E+10,90,45,1.10E-04,8.87E-01,15.4,8.014,50.01,50.14
4,6E-15,3.64E+10,90,45,1.10E-04,8.87E-01,15.4,8.014,50.01,50.14
4,6E-15,3.64E+10,90,45,1.10E-04,8.87E-01,15.4,8.014,50.01,50.14
2,8E-15,2.44E+10,90,45,1.08E-04,8.87E-01,7.644,7.237,45.33,45.44
2,6E-15,2.84E+10,80,45,1.08E-04,8.87E-01,9.786,8.038,50.15,50.26
2,6E-15,2.84E+10,80,45,1.08E-04,8.87E-01,9.786,8.038,50.15,50.26
2,6E-15,2.84E+10,80,45,1.08E-04,8.87E-01,9.786,8.038,50.15,50.26
2,6E-15,2.84E+10,80,45,1.08E-04,8.87E-01,9.786,8.038,50.15,50.26
6,8E-15,3.64E+10,80,45,1.11E-04,8.88E-01,16.36,8.015,50.01,50.14
6,8E-15,3.64E+10,80,45,1.11E-04,8.88E-01,16.36,8.015,50.01,50.14
4,8E-15,3.24E+10,80,45,1.10E-04,8.88E-01,12.84,7.85,49.02,49.13
4,8E-15,3.24E+10,80,45,1.10E-04,8.88E-01,12.84,7.85,49.02,49.13
4,8E-15,3.24E+10,80,45,1.10E-04,8.88E-01,12.84,7.85,49.02,49.13
4,8E-15,3.24E+10,80,45,1.10E-04,8.88E-01,12.84,7.85,49.02,49.13
4,6E-15,3.24E+10,70,58,1.10E-04,8.89E-01,15.12,7.631,47.7,47.82
4,6E-15,3.24E+10,70,58,1.10E-04,8.89E-01,15.12,7.631,47.7,47.82
4,6E-15,3.24E+10,70,58,1.10E-04,8.89E-01,15.12,7.631,47.7,47.82
4,6E-15,3.24E+10,70,58,1.10E-04,8.89E-01,15.12,7.631,47.7,47.82
4,8E-15,2.84E+10,70,58,1.10E-04,8.90E-01,12.48,8.518,53.04,53.16
4,8E-15,2.84E+10,70,58,1.10E-04,8.90E-01,12.48,8.518,53.04,53.16
4,8E-15,2.56E+10,90,58,1.09E-04,8.90E-01,12.06,6.927,43.46,43.58
4,8E-15,2.56E+10,90,58,1.09E-04,8.90E-01,12.06,6.927,43.46,43.58
4,8E-15,3.64E+10,70,38,1.10E-04,8.91E-01,13.32,8.369,52.15,52.27
4,8E-15,3.64E+10,70,38,1.10E-04,8.91E-01,13.32,8.369,52.15,52.27
2,8E-15,2.44E+10,80,45,1.08E-04,8.92E-01,7.702,7.226,45.27,45.37
2,8E-15,2.44E+10,80,45,1.08E-04,8.92E-01,7.702,7.226,45.27,45.37
6,8E-15,2.84E+10,90,58,1.11E-04,8.92E-01,15.07,8.478,52.8,52.93
2,6E-15,2.44E+10,90,58,1.08E-04,8.94E-01,9.375,7.135,44.72,44.82
2,6E-15,2.44E+10,90,58,1.08E-04,8.94E-01,9.375,7.135,44.72,44.82
2,8E-15,2.44E+10,70,45,1.08E-04,8.96E-01,7.759,7.224,45.25,45.36
6,4E-15,3.64E+10,80,58,1.11E-04,8.96E-01,22.38,6.993,43.86,43.98
6,4E-15,3.64E+10,80,58,1.11E-04,8.96E-01,22.38,6.993,43.86,43.98
4,6E-15,3.64E+10,80,45,1.10E-04,8.96E-01,15.65,8.05,50.23,50.35
4,6E-15,3.64E+10,80,45,1.10E-04,8.96E-01,15.65,8.05,50.23,50.35
4,6E-15,3.64E+10,80,45,1.10E-04,8.96E-01,15.65,8.05,50.23,50.35
4,6E-15,3.64E+10,80,45,1.10E-04,8.96E-01,15.65,8.05,50.23,50.35
4,6E-15,3.64E+10,80,45,1.10E-04,8.96E-01,15.65,8.05,50.23,50.35
4,6E-15,3.64E+10,80,45,1.10E-04,8.96E-01,15.65,8.05,50.23,50.35
4,6E-15,3.64E+10,80,45,1.10E-04,8.96E-01,15.65,8.05,50.23,50.35
4,6E-15,3.64E+10,80,45,1.10E-04,8.96E-01,15.65,8.05,50.23,50.35
6,6E-15,3.24E+10,80,58,1.11E-04,8.96E-01,18.16,7.432,46.5,46.61
6,6E-15,3.24E+10,80,58,1.11E-04,8.96E-01,18.16,7.432,46.5,46.61
6,6E-15,3.24E+10,80,58,1.11E-04,8.96E-01,18.16,7.432,46.5,46.61
6,6E-15,3.24E+10,80,58,1.11E-04,8.96E-01,18.16,7.432,46.5,46.61
4,4E-15,3.64E+10,70,58,1.10E-04,8.96E-01,19.41,7.549,47.21,47.33
4,4E-15,3.64E+10,70,58,1.10E-04,8.96E-01,19.41,7.549,47.21,47.33
2,4E-15,3.64E+10,70,45,1.08E-04,8.96E-01,13.71,8.155,50.86,50.98
2,6E-15,2.84E+10,70,45,1.08E-04,8.98E-01,9.889,7.965,49.71,49.82
2,6E-15,2.84E+10,70,45,1.08E-04,8.98E-01,9.889,7.965,49.71,49.82
4,8E-15,3.24E+10,70,45,1.10E-04,8.99E-01,13.02,7.712,48.19,48.3
4,8E-15,3.24E+10,70,45,1.10E-04,8.99E-01,13.02,7.712,48.19,48.3
6,8E-15,3.64E+10,70,45,1.11E-04,8.99E-01,16.65,8.05,50.23,50.36
2,4E-15,2.84E+10,90,58,1.08E-04,8.99E-01,12.74,8.444,52.6,52.72
2,2E-15,3.64E+10,90,58,1.08E-04,9.00E-01,20,7.251,45.42,45.53
2,6E-15,2.56E+10,90,45,1.07E-04,9.01E-01,9.682,7.26,45.47,45.59
2,6E-15,2.56E+10,90,45,1.07E-04,9.01E-01,9.682,7.26,45.47,45.59
2,6E-15,2.44E+10,80,58,1.08E-04,9.02E-01,9.499,7.094,44.47,44.58
2,6E-15,2.44E+10,80,58,1.08E-04,9.02E-01,9.499,7.094,44.47,44.58
2,6E-15,2.44E+10,80,58,1.08E-04,9.02E-01,9.499,7.094,44.47,44.58
2,6E-15,2.44E+10,80,58,1.08E-04,9.02E-01,9.499,7.094,44.47,44.58
4,6E-15,2.84E+10,90,58,1.10E-04,9.02E-01,14.53,8.471,52.76,52.88
4,6E-15,2.84E+10,90,58,1.10E-04,9.02E-01,14.53,8.471,52.76,52.88
4,6E-15,2.84E+10,90,58,1.10E-04,9.02E-01,14.53,8.471,52.76,52.88
