Wpmos_in,L_Radius,Cin_OD,Wnmos_follower,center_freq,Output Impedance (Rout),Power(mW),Gain,spectrum_sfdr,spectrum_snr,spectrum_enob
30,16e-6,70e-15,18,23.6e9,58.45,14.02,1.433,58.1,60.09,9.689
30,16e-6,70e-15,20,23.2e9,57.66,14.03,1.86,63.01,64.2,10.37
30,16e-6,100e-15,15,23.2e9,61.09,14.06,-229.2e-3,51.88,54.31,8.728
30,16e-6,100e-15,10,24.4e9,66.74,14.07,-2.543,62.7,62.04,10.01
30,16e-6,100e-15,12,24e9,63.74,14.07,-1.473,57.58,58.29,9.39
30,16e-6,100e-15,14,23.6e9,61.75,14.07,-610.7e-3,52.91,55.08,8.856
30,16e-6,100e-15,16,23.2e9,60.34,14.06,104.4e-3,49.89,52.78,8.475
30,16e-6,100e-15,18,22.8e9,59.29,14.06,709.9e-3,56.13,57.47,9.254
30,16e-6,100e-15,20,22.4e9,58.45,14.06,1.23,59.55,60.91,9.825
30,18e-6,10e-15,15,25.2e9,59.29,13.68,2.289,60.86,61.01,9.841
30,18e-6,10e-15,10,26e9,65.67,13.7,1.458,52.53,55.84,8.983
30,18e-6,10e-15,12,25.6e9,62.29,13.69,1.849,53.76,56.66,9.118
30,18e-6,10e-15,14,25.2e9,60.05,13.68,2.157,58.9,59.93,9.662
30,18e-6,10e-15,16,24.8e9,58.54,13.68,2.414,60.47,60.63,9.778
30,18e-6,10e-15,18,24.4e9,57.47,13.69,2.634,55.31,57.76,9.302
30,18e-6,10e-15,20,24e9,56.68,13.71,2.827,57.73,59.72,9.626
30,18e-6,10e-15,15,25.2e9,59.29,13.68,2.289,60.86,61.01,9.841
30,18e-6,10e-15,10,26e9,65.67,13.7,1.458,52.53,55.84,8.983
30,18e-6,10e-15,12,25.6e9,62.29,13.69,1.849,53.76,56.66,9.118
30,18e-6,10e-15,14,25.2e9,60.05,13.68,2.157,58.9,59.93,9.662
30,18e-6,10e-15,16,24.8e9,58.54,13.68,2.414,60.47,60.63,9.778
30,18e-6,10e-15,18,24.4e9,57.47,13.69,2.634,55.31,57.76,9.302
30,18e-6,10e-15,20,24e9,56.68,13.71,2.827,57.73,59.72,9.626
30,18e-6,40e-15,15,23.6e9,61.91,13.93,2.012,59.97,62.6,10.11
