CP_out_width,nor_n_width,nor_p_width,tspc_n_width,tspc_p_width,vdd,deadzone,power
7.2e-07,2.5e-07,4e-07,2.5e-07,4.4e-07,0.9,-5.1727e-14,0.0039842
7.2e-07,2.5e-07,4e-07,2.5e-07,4.4e-07,1.0,-1.6456e-12,0.0051736
7.2e-07,2.5e-07,4e-07,2.75e-07,3.6e-07,0.8,4.5679e-12,0.0030172
7.2e-07,2.5e-07,4e-07,2.75e-07,3.6e-07,0.9,1.9201e-13,0.0039786
7.2e-07,2.5e-07,4e-07,2.75e-07,3.6e-07,1.0,-1.6804e-12,0.0051666
7.2e-07,2.5e-07,4e-07,2.75e-07,4e-07,0.8,4.4083e-12,0.0030252
7.2e-07,2.5e-07,4e-07,2.75e-07,4e-07,0.9,1.9396e-13,0.0039885
7.2e-07,2.5e-07,4e-07,2.75e-07,4e-07,1.0,-1.5685e-12,0.0051794
7.2e-07,2.5e-07,4e-07,2.75e-07,4.4e-07,0.8,4.2735e-12,0.0030332
7.2e-07,2.5e-07,4e-07,2.75e-07,4.4e-07,0.9,1.9024e-13,0.0039984
7.2e-07,2.5e-07,4e-07,2.75e-07,4.4e-07,1.0,-1.484e-12,0.0051924
7.2e-07,2.5e-07,4.4e-07,2.25e-07,3.6e-07,0.8,3.9843e-12,0.0030007
7.2e-07,2.5e-07,4.4e-07,2.25e-07,3.6e-07,0.9,-2.8832e-13,0.003954
7.2e-07,2.5e-07,4.4e-07,2.25e-07,3.6e-07,1.0,-1.9491e-12,0.0051339
7.2e-07,2.5e-07,4.4e-07,2.25e-07,4e-07,0.8,3.8101e-12,0.0030086
7.2e-07,2.5e-07,4.4e-07,2.25e-07,4e-07,0.9,-3.3626e-13,0.0039637
7.2e-07,2.5e-07,4.4e-07,2.25e-07,4e-07,1.0,-1.8735e-12,0.0051465
7.2e-07,2.5e-07,4.4e-07,2.25e-07,4.4e-07,0.8,3.6604e-12,0.0030165
7.2e-07,2.5e-07,4.4e-07,2.25e-07,4.4e-07,0.9,-3.8262e-13,0.0039735
7.2e-07,2.5e-07,4.4e-07,2.25e-07,4.4e-07,1.0,-1.8126e-12,0.0051594
7.2e-07,2.5e-07,4.4e-07,2.5e-07,3.6e-07,0.8,4.2624e-12,0.0030105
7.2e-07,2.5e-07,4.4e-07,2.5e-07,3.6e-07,0.9,-2.5256e-14,0.0039681
7.2e-07,2.5e-07,4.4e-07,2.5e-07,3.6e-07,1.0,-1.7872e-12,0.0051525
7.2e-07,2.5e-07,4.4e-07,2.5e-07,4e-07,0.8,4.0903e-12,0.0030185
7.2e-07,2.5e-07,4.4e-07,2.5e-07,4e-07,0.9,-4.9801e-14,0.0039779
7.2e-07,2.5e-07,4.4e-07,2.5e-07,4e-07,1.0,-1.6938e-12,0.0051652
7.2e-07,2.5e-07,4.4e-07,2.5e-07,4.4e-07,0.8,3.9448e-12,0.0030264
7.2e-07,2.5e-07,4.4e-07,2.5e-07,4.4e-07,0.9,-7.4844e-14,0.0039878
7.2e-07,2.5e-07,4.4e-07,2.5e-07,4.4e-07,1.0,-1.6198e-12,0.0051782
7.2e-07,2.5e-07,4.4e-07,2.75e-07,3.6e-07,0.8,4.5014e-12,0.0030203
7.2e-07,2.5e-07,4.4e-07,2.75e-07,3.6e-07,0.9,1.8336e-13,0.0039822
7.2e-07,2.5e-07,4.4e-07,2.75e-07,3.6e-07,1.0,-1.6492e-12,0.0051712
